,Localitate,Alimentara,Textila,Lemnului,ChimicaFarmaceutica,Metalurgica,ConstructiiMasini,CalculatoareElectronica,Mobila,Energetica,Siruta,Judet,Populatie
55,Cacica,19427306.0,0.0,10702780.0,0.0,0.0,0.0,0.0,0.0,0.0,147526,sv,4394
56,Domnesti,157472.0,0.0,1452792.0,0.0,0.0,0.0,0.0,0.0,0.0,16454,ag,3156
57,Domnesti,157472.0,0.0,1452792.0,0.0,0.0,0.0,0.0,0.0,0.0,102570,if,8484
58,Domnesti,4468591.0,322216.0,10233868.0,0.0,0.0,1164970.0,0.0,1481730.0,66762641.0,16454,ag,3156
59,Domnesti,4468591.0,322216.0,10233868.0,0.0,0.0,1164970.0,0.0,1481730.0,66762641.0,102570,if,8484
60,Oras Fieni,2179011.0,504154.0,206681.0,0.0,0.0,2159946.0,0.0,57907.0,0.0,65609,db,7652
61,Hangu,0.0,0.0,28533481.0,0.0,0.0,0.0,0.0,0.0,0.0,122953,nt,3947
62,Halchiu,1861022.0,206444.0,6448558.0,26222.0,0.0,50177.0,0.0,1656591.0,0.0,41033,bv,4806
63,Beba Veche,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395514.0,155724,tm,1593
64,Sarulesti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49233,bz,1363
65,Sarulesti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104886,cl,2961
66,Sarulesti,4398.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,49233,bz,1363
67,Sarulesti,4398.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,104886,cl,2961
68,Dragoslavele,13942557.0,0.0,488980.0,0.0,0.0,0.0,0.0,0.0,0.0,16472,ag,2628
69,Vetis,662552865.0,16308394.0,354268.0,0.0,0.0,0.0,0.0,9331395.0,0.0,139358,sm,5421
70,Luncoiu De Jos,1002114.0,0.0,0.0,0.0,0.0,0.0,0.0,3738120.0,0.0,90208,hd,1775
71,Cornesti,10500.0,0.0,285664.0,0.0,0.0,0.0,0.0,323.0,0.0,57449,cj,1382
72,Cornesti,10500.0,0.0,285664.0,0.0,0.0,0.0,0.0,323.0,0.0,67014,db,6266
73,Cornesti,1412509.0,0.0,499552.0,0.0,0.0,0.0,0.0,60122.0,0.0,57449,cj,1382
74,Cornesti,1412509.0,0.0,499552.0,0.0,0.0,0.0,0.0,60122.0,0.0,67014,db,6266
75,Motaieni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65645,db,2091
76,Becicherecu Mic,4763477.0,0.0,0.0,0.0,0.0,0.0,262447.0,2604724.0,0.0,155760,tm,3166
77,Cetate,53950570.0,0.0,11997218.0,0.0,0.0,0.0,0.0,0.0,0.0,32884,bn,2895
78,Cetate,53950570.0,0.0,11997218.0,0.0,0.0,0.0,0.0,0.0,0.0,71787,dj,5462
79,Cetate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32884,bn,2895
80,Cetate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71787,dj,5462
81,Municipiul Reghin,37754207.0,105645955.0,595253050.0,24042.0,939649.0,77328760.0,174687.0,140342533.0,0.0,114809,ms,38237
82,Draganu,64688.0,0.0,75284.0,0.0,0.0,0.0,0.0,0.0,0.0,16506,ag,1955
83,Perisani,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172153,vl,2270
84,Radovan,1012456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73852,dj,1344
85,Sarasau,1749366.0,0.0,4665281.0,0.0,0.0,0.0,0.0,0.0,0.0,106620,mm,2754
86,Gherghesti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163967,vs,2808
87,Slivilesti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82047,gj,3326
88,Calafindesti,466091.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147580,sv,2982
89,Harman,9332104.0,100279654.0,6671797.0,0.0,0.0,12455984.0,0.0,3266417.0,0.0,41088,bv,6203
90,Viile Satu Mare,409179.0,132053.0,22460.0,0.0,0.0,0.0,0.0,0.0,0.0,139394,sm,3800
91,Popesti,12469.0,0.0,0.0,2711355.0,0.0,0.0,0.0,0.0,0.0,18162,ag,2014
92,Popesti,12469.0,0.0,0.0,2711355.0,0.0,0.0,0.0,0.0,0.0,30568,bh,7991
93,Popesti,12469.0,0.0,0.0,2711355.0,0.0,0.0,0.0,0.0,0.0,98435,is,5573
94,Popesti,12469.0,0.0,0.0,2711355.0,0.0,0.0,0.0,0.0,0.0,172377,vl,3039
95,Popesti,12469.0,0.0,0.0,2711355.0,0.0,0.0,0.0,0.0,0.0,178901,vn,3033
96,Popesti,0.0,0.0,60311.0,0.0,0.0,0.0,0.0,0.0,0.0,18162,ag,2014
97,Popesti,0.0,0.0,60311.0,0.0,0.0,0.0,0.0,0.0,0.0,30568,bh,7991
98,Popesti,0.0,0.0,60311.0,0.0,0.0,0.0,0.0,0.0,0.0,98435,is,5573
99,Popesti,0.0,0.0,60311.0,0.0,0.0,0.0,0.0,0.0,0.0,172377,vl,3039
100,Popesti,0.0,0.0,60311.0,0.0,0.0,0.0,0.0,0.0,0.0,178901,vn,3033
101,Popesti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18162,ag,2014
102,Popesti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30568,bh,7991
103,Popesti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98435,is,5573
104,Popesti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172377,vl,3039
105,Popesti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178901,vn,3033
106,Popesti,362938.0,8025996.0,0.0,2278838.0,0.0,0.0,0.0,23607.0,0.0,18162,ag,2014
107,Popesti,362938.0,8025996.0,0.0,2278838.0,0.0,0.0,0.0,23607.0,0.0,30568,bh,7991
108,Popesti,362938.0,8025996.0,0.0,2278838.0,0.0,0.0,0.0,23607.0,0.0,98435,is,5573
109,Popesti,362938.0,8025996.0,0.0,2278838.0,0.0,0.0,0.0,23607.0,0.0,172377,vl,3039
